State,prefixes
Alabama,416-424
Alaska,574
Arizona,526-527
Arkansas,429-432
California,545-573
Colorado,521-524
Connecticut,040-049
Delaware,221-222
Florida,261-267
Georgia,252-260
Hawaii,575-576
Idaho,518-519
Illinois,318-361
Indiana,303-317
Iowa,478-485
Kansas,509-515
Kentucky,400-407
Louisiana,433-439
Maine,004-007
Maryland,212-220
Massachusetts,010-034
Michigan,362-386
Minnesota,468-477
Mississippi,425-428
Missouri,486-500
Montana,516-517
Nebraska,505-508
Nevada,530 680
New Hampshire,001-003
New Jersey,135-158
New Mexico,525 585
New York,050-134
North Carolina,232
North Dakota,501-502
Ohio,268-302
Oklahoma,440-448
Oregon,540-544
Pennsylvania,159-211
Rhode Island,035-039
South Carolina,247-251
South Dakota,503-504
Tennessee,408-415
Texas,449-467
Utah,528-529
Vermont,008-009
Virginia,223-231
Washington,531-539
West Virginia,232-236
Wisconsin,387-399
Wyoming,$520 
